,BIS/BAS/FNR Scales,,,,,GEQ - Core,,,,,,,GEQ - Post-game,,,
Player Number,BAS Drive,BAS Fun Seeking,BAS Reward Responsiveness,BIS,FNR,Competence,Sensory and Imaginative Immersion,Flow,Tension / Annoyance,Challenge,Negative affect,Positive affect,Positive Experience,Negative Experience,Tiredness,Returning to Reality
1,11,11,20,23,18,"3,6","2,833333333",4,"0,6666666667","3,2",0,4,"2,666666667",0,"0,5","1,333333333"
2,11,9,17,18,9,1,"1,5",3,"2,666666667","2,8",0,3,"1,333333333","1,166666667",0,"0,3333333333"
3,10,11,15,14,15,"3,2",3,"2,8",0,"1,4",0,"3,8","2,666666667","0,1666666667",0,"0,6666666667"
4,14,11,18,17,12,"2,4","3,666666667","3,4","0,6666666667","2,2","0,25",3,"2,5",0,0,"0,3333333333"
5,11,12,18,24,10,2,"2,5","3,4",1,"1,8",0,"3,4","2,333333333","0,1666666667","1,5","0,3333333333"
6,12,10,17,24,11,"2,8","2,333333333","3,6","1,333333333","2,6",0,"3,2",2,"0,1666666667",1,1
7,10,13,16,27,16,"1,6","2,833333333","2,8","2,666666667","2,4","0,75","2,8","1,833333333","0,8333333333","0,5","1,666666667"
8,9,14,19,27,11,"2,4",4,"3,4","0,6666666667","2,8",0,4,3,"0,8333333333","0,5",2
9,5,15,15,21,12,"2,6","2,166666667","2,8","0,3333333333","1,8",1,4,"2,833333333","0,1666666667",0,1
10,9,10,19,24,13,"2,4",2,"2,4",1,"2,6","0,75","2,8","1,666666667","0,3333333333",0,0
11,10,9,18,28,15,"2,4","3,166666667","2,6","0,6666666667",2,"0,5","3,4",2,0,0,"0,3333333333"
12,10,10,17,26,15,"2,6","2,166666667","3,8","1,333333333","3,2","0,75","3,2","2,166666667","1,333333333",1,0
13,12,15,17,17,8,2,"1,833333333",1,"0,6666666667","2,2","1,25","2,8","0,3333333333","0,3333333333",0,0
14,6,16,16,26,13,"2,8","3,333333333",3,0,"2,6","0,5","3,6",2,"1,166666667","0,5","1,333333333"
15,12,13,14,20,14,"2,8","1,833333333","2,2",1,"1,8","1,25",2,"1,5",2,"1,5",1
16,12,12,19,18,12,"3,6","3,666666667","3,8",1,"2,8",1,"3,6","2,666666667","1,333333333","2,5","1,333333333"
17,10,13,16,14,10,3,"2,166666667","2,8",1,"1,6",1,"2,8","2,5","0,5","0,5","0,6666666667"
18,10,10,16,23,13,"0,6",2,"2,4","1,666666667","2,2","0,25","2,2","0,8333333333","0,5","0,5","1,333333333"
19,8,9,17,20,9,2,"3,166666667","3,2","1,666666667",2,"0,5","3,4","2,5","0,1666666667",0,"0,6666666667"
20,11,9,16,15,9,"2,8","2,833333333","2,8",0,"1,6","0,25","3,2","2,333333333",0,"0,5",1
