Player Number,C1. I felt content,C2. I felt skillful,C3. I was interested in the game's story,C4. I thought it was fun,C5. I was fully occupied with the game,C6. I felt happy,C7. It gave me a bad mood,C8. I thought about other things,C9. I fount it tiresome,C10. I felt competent,C11. I thought it was hard,C12. It was aesthetically pleasing,C13. I forgot everything around me,C14. I felt good,C15. I was good at it,C16. I felt bored,C17. I felt successful,C18. I felt imaginative,C19. I felt that I could explore things,C20. I enjoyed it,C21. I was fast at reaching the game's targets,C22. I felt annoyed,C23. I felt pressured,C24. I felt irritable,C25. I lost track of time,C26. I felt challenged,C27. I found it impressive,C28. I was deeply concentrated in the game,C29. I felt frustrated,C30. It felt like a rich experience,C31. I lost connection with the outside world,C32. I felt time pressure,C33. I had to put a lot of effort into it,P1. I felt revived,P2. I felt bad,P3. I found it hard to get back to reality,P4. I felt guilty,P5. It felt like a victory,P6. I found it a waste of time,P7. I felt energised,P8. I felt satisfied,P9. I felt disoriented,P10. I felt exhausted,P11. I felt that I could have done more useful things,P12. I felt powerful,P13. I felt weary,P14. I felt regret,P15. I felt ashamed,P16. I felt proud,P17. I had a sense that I had returned from a journey,Core - Competence,Core - Sensory and Imaginative Immersion,Core - Flow,Core - Tension/Annoyance,Core - Challenge,Core - Negative affect,Core - Positive affect,Post-game - Positive Experience,Post-game - Negative Experience,Post-game - Tiredness,Post-game - Returning to Reality
1,4,4,2,4,4,4,0,0,0,3,3,3,4,4,3,0,4,3,3,4,4,1,3,0,4,4,3,4,1,3,4,4,2,3,0,1,0,3,0,2,3,0,0,0,2,1,0,0,3,3,"3,6","2,833333333",4,"0,6666666667","3,2",0,4,"2,666666667",0,"0,5","1,333333333"
2,1,1,2,4,4,3,0,0,0,1,4,2,2,3,1,0,1,0,1,4,1,3,3,2,4,4,2,3,3,2,2,0,3,2,0,0,0,0,0,2,2,0,0,4,0,0,2,1,2,1,1,"1,5",3,"2,666666667","2,8",0,3,"1,333333333","1,166666667",0,"0,3333333333"
3,4,3,3,4,4,3,0,0,0,3,2,4,2,4,3,0,4,2,4,4,3,0,0,0,3,3,2,3,0,3,2,0,2,2,0,0,0,3,0,2,4,0,0,1,2,0,0,0,3,2,"3,2",3,"2,8",0,"1,4",0,"3,8","2,666666667","0,1666666667",0,"0,6666666667"
4,3,1,4,3,4,3,0,0,1,3,4,4,3,3,3,0,2,3,4,3,3,1,1,0,3,4,4,4,1,3,3,1,1,2,0,0,0,3,0,2,2,0,0,0,3,0,0,0,3,1,"2,4","3,666666667","3,4","0,6666666667","2,2","0,25",3,"2,5",0,0,"0,3333333333"
5,3,2,3,4,4,2,0,0,0,2,2,3,4,4,1,0,3,2,3,4,2,1,0,1,3,3,3,3,1,1,3,1,3,3,1,0,0,2,0,2,2,1,1,0,2,2,0,0,3,0,2,"2,5","3,4",1,"1,8",0,"3,4","2,333333333","0,1666666667","1,5","0,3333333333"
6,2,3,2,4,4,3,0,0,0,3,3,4,4,3,3,0,2,1,1,4,3,0,3,2,3,3,3,4,2,3,3,1,3,2,1,0,0,2,0,2,2,1,1,0,2,1,0,0,2,2,"2,8","2,333333333","3,6","1,333333333","2,6",0,"3,2",2,"0,1666666667",1,1
7,3,1,1,4,4,2,1,1,1,2,3,4,2,2,1,0,2,1,3,3,2,3,2,2,3,4,4,3,3,4,2,0,3,2,0,1,0,2,0,2,2,0,0,3,1,1,1,1,2,4,"1,6","2,833333333","2,8","2,666666667","2,4","0,75","2,8","1,833333333","0,8333333333","0,5","1,666666667"
8,4,3,4,4,4,4,0,0,0,1,3,4,2,4,2,0,3,4,4,4,3,1,3,0,4,4,4,4,1,4,3,0,4,3,0,0,1,3,0,3,4,2,1,4,3,0,0,0,2,4,"2,4",4,"3,4","0,6666666667","2,8",0,4,3,"0,8333333333","0,5",2
9,4,2,1,4,4,4,0,4,0,2,3,4,2,4,2,0,3,0,2,4,4,0,2,0,1,3,3,4,1,3,3,0,1,3,0,0,0,2,0,3,4,0,0,0,3,0,0,1,2,3,"2,6","2,166666667","2,8","0,3333333333","1,8",1,4,"2,833333333","0,1666666667",0,1
10,2,3,3,4,4,2,1,1,1,2,3,3,2,3,3,0,3,0,2,3,1,1,3,1,3,4,3,3,1,1,0,0,3,2,0,0,0,2,1,2,2,0,0,1,2,0,0,0,0,0,"2,4",2,"2,4",1,"2,6","0,75","2,8","1,666666667","0,3333333333",0,0
11,3,2,3,4,3,3,0,1,1,2,2,4,2,3,2,0,3,2,4,4,3,1,2,0,3,3,3,3,1,3,2,1,2,2,0,0,0,2,0,2,3,0,0,0,2,0,0,0,1,1,"2,4","3,166666667","2,6","0,6666666667",2,"0,5","3,4",2,0,0,"0,3333333333"
12,3,3,1,4,4,3,0,1,1,3,4,4,4,3,3,1,2,1,1,3,2,1,4,0,3,4,3,4,3,3,4,1,3,2,1,0,0,2,0,2,2,0,1,4,3,1,3,0,2,0,"2,6","2,166666667","3,8","1,333333333","3,2","0,75","3,2","2,166666667","1,333333333",1,0
13,3,2,2,3,3,2,0,2,2,2,3,3,0,3,2,1,2,1,1,3,2,1,1,1,0,3,1,2,0,3,0,3,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,"1,833333333",1,"0,6666666667","2,2","1,25","2,8","0,3333333333","0,3333333333",0,0
14,4,3,3,3,4,4,0,2,0,3,3,4,3,3,3,0,3,2,3,4,2,0,0,0,3,4,4,3,0,4,2,3,3,4,0,0,1,2,1,3,3,1,0,3,0,1,1,1,0,3,"2,8","3,333333333",3,0,"2,6","0,5","3,6",2,"1,166666667","0,5","1,333333333"
