Player Number,C1. I felt content,C2. I felt skillful,C3. I was interested in the game's story,C4. I thought it was fun,C5. I was fully occupied with the game,C6. I felt happy,C7. It gave me a bad mood,C8. I thought about other things,C9. I fount it tiresome,C10. I felt competent,C11. I thought it was hard,C12. It was aesthetically pleasing,C13. I forgot everything around me,C14. I felt good,C15. I was good at it,C16. I felt bored,C17. I felt successful,C18. I felt imaginative,C19. I felt that I could explore things,C20. I enjoyed it,C21. I was fast at reaching the game's targets,C22. I felt annoyed,C23. I felt pressured,C24. I felt irritable,C25. I lost track of time,C26. I felt challenged,C27. I found it impressive,C28. I was deeply concentrated in the game,C29. I felt frustrated,C30. It felt like a rich experience,C31. I lost connection with the outside world,C32. I felt time pressure,C33. I had to put a lot of effort into it,P1. I felt revived,P2. I felt bad,P3. I found it hard to get back to reality,P4. I felt guilty,P5. It felt like a victory,P6. I found it a waste of time,P7. I felt energised,P8. I felt satisfied,P9. I felt disoriented,P10. I felt exhausted,P11. I felt that I could have done more useful things,P12. I felt powerful,P13. I felt weary,P14. I felt regret,P15. I felt ashamed,P16. I felt proud,P17. I had a sense that I had returned from a journey
1,4,4,2,4,4,4,0,0,0,3,3,3,4,4,3,0,4,3,3,4,4,1,3,0,4,4,3,4,1,3,4,4,2,3,0,1,0,3,0,2,3,0,0,0,2,1,0,0,3,3
2,1,1,2,4,4,3,0,0,0,1,4,2,2,3,1,0,1,0,1,4,1,3,3,2,4,4,2,3,3,2,2,0,3,2,0,0,0,0,0,2,2,0,0,4,0,0,2,1,2,1
3,4,3,3,4,4,3,0,0,0,3,2,4,2,4,3,0,4,2,4,4,3,0,0,0,3,3,2,3,0,3,2,0,2,2,0,0,0,3,0,2,4,0,0,1,2,0,0,0,3,2
4,3,1,4,3,4,3,0,0,1,3,4,4,3,3,3,0,2,3,4,3,3,1,1,0,3,4,4,4,1,3,3,1,1,2,0,0,0,3,0,2,2,0,0,0,3,0,0,0,3,1
5,3,2,3,4,4,2,0,0,0,2,2,3,4,4,1,0,3,2,3,4,2,1,0,1,3,3,3,3,1,1,3,1,3,3,1,0,0,2,0,2,2,1,1,0,2,2,0,0,3,0
6,2,3,2,4,4,3,0,0,0,3,3,4,4,3,3,0,2,1,1,4,3,0,3,2,3,3,3,4,2,3,3,1,3,2,1,0,0,2,0,2,2,1,1,0,2,1,0,0,2,2
7,3,1,1,4,4,2,1,1,1,2,3,4,2,2,1,0,2,1,3,3,2,3,2,2,3,4,4,3,3,4,2,0,3,2,0,1,0,2,0,2,2,0,0,3,1,1,1,1,2,4
8,4,3,4,4,4,4,0,0,0,1,3,4,2,4,2,0,3,4,4,4,3,1,3,0,4,4,4,4,1,4,3,0,4,3,0,0,1,3,0,3,4,2,1,4,3,0,0,0,2,4
9,4,2,1,4,4,4,0,4,0,2,3,4,2,4,2,0,3,0,2,4,4,0,2,0,1,3,3,4,1,3,3,0,1,3,0,0,0,2,0,3,4,0,0,0,3,0,0,1,2,3
10,2,3,3,4,4,2,1,1,1,2,3,3,2,3,3,0,3,0,2,3,1,1,3,1,3,4,3,3,1,1,0,0,3,2,0,0,0,2,1,2,2,0,0,1,2,0,0,0,0,0
11,3,2,3,4,3,3,0,1,1,2,2,4,2,3,2,0,3,2,4,4,3,1,2,0,3,3,3,3,1,3,2,1,2,2,0,0,0,2,0,2,3,0,0,0,2,0,0,0,1,1
12,3,3,1,4,4,3,0,1,1,3,4,4,4,3,3,1,2,1,1,3,2,1,4,0,3,4,3,4,3,3,4,1,3,2,1,0,0,2,0,2,2,0,1,4,3,1,3,0,2,0
13,3,2,2,3,3,2,0,2,2,2,3,3,0,3,2,1,2,1,1,3,2,1,1,1,0,3,1,2,0,3,0,3,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
14,4,3,3,3,4,4,0,2,0,3,3,4,3,3,3,0,3,2,3,4,2,0,0,0,3,4,4,3,0,4,2,3,3,4,0,0,1,2,1,3,3,1,0,3,0,1,1,1,0,3
15,2,3,2,2,3,2,1,1,2,2,2,1,2,2,3,1,3,2,1,2,3,1,1,1,2,2,2,3,1,3,1,2,2,2,1,1,2,2,3,1,2,1,1,3,1,2,2,1,1,1
16,3,4,4,4,3,3,1,2,1,3,3,3,4,4,4,0,3,4,4,4,4,1,3,1,4,4,4,4,1,3,4,1,3,3,1,1,1,1,0,3,3,0,2,2,3,3,3,1,3,3
17,2,4,0,3,4,2,0,4,0,3,2,4,1,3,3,0,2,1,1,4,3,1,0,1,2,3,3,4,1,4,3,0,3,3,0,0,0,3,0,3,3,0,0,3,3,1,0,0,0,2
18,2,0,2,3,3,2,0,1,0,1,2,2,2,2,0,0,1,1,2,2,1,1,2,2,2,3,3,3,2,2,2,1,3,1,1,1,0,1,0,1,1,2,0,2,1,1,0,0,0,1
19,2,2,3,4,4,3,2,0,0,1,2,4,3,4,2,0,3,2,4,4,2,2,2,1,3,4,3,4,2,3,2,0,2,2,1,0,0,2,0,3,3,0,0,0,3,0,0,0,2,2
20,3,2,3,4,4,3,0,1,0,3,1,3,2,3,3,0,3,3,2,3,3,0,0,0,3,3,3,3,0,3,2,1,3,3,0,0,0,3,0,2,3,0,0,0,2,1,0,0,1,3
