Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
4,00:00:00,69,07-04-2023,15:25:57,00:34:41,73,14
,00:00:01,69,,,,,
,00:00:02,70,,,,,
,00:00:03,71,,,,,
,00:00:04,72,,,,,
,00:00:05,74,,,,,
,00:00:06,74,,,,,
,00:00:07,74,,,,,
,00:00:08,73,,,,,
,00:00:09,72,,,,,
,00:00:10,72,,,,,
,00:00:11,71,,,,,
,00:00:12,70,,,,,
,00:00:13,70,,,,,
,00:00:14,70,,,,,
,00:00:15,70,,,,,
,00:00:16,71,,,,,
,00:00:17,71,,,,,
,00:00:18,72,,,,,
,00:00:19,72,,,,,
,00:00:20,72,,,,,
,00:00:21,72,,,,,
,00:00:22,71,,,,,
,00:00:23,71,,,,,
,00:00:24,71,,,,,
,00:00:25,71,,,,,
,00:00:26,72,,,,,
,00:00:27,72,,,,,
,00:00:28,73,,,,,
,00:00:29,73,,,,,
,00:00:30,73,,,,,
,00:00:31,73,,,,,
,00:00:32,72,,,,,
,00:00:33,71,,,,,
,00:00:34,71,,,,,
,00:00:35,71,,,,,
,00:00:36,71,,,,,
,00:00:37,72,,,,,
,00:00:38,72,,,,,
,00:00:39,72,,,,,
,00:00:40,71,,,,,
,00:00:41,71,,,,,
,00:00:42,70,,,,,
,00:00:43,70,,,,,
,00:00:44,70,,,,,
,00:00:45,70,,,,,
,00:00:46,69,,,,,
,00:00:47,69,,,,,
,00:00:48,69,,,,,
,00:00:49,69,,,,,
,00:00:50,69,,,,,
,00:00:51,69,,,,,
,00:00:52,69,,,,,
,00:00:53,69,,,,,
,00:00:54,68,,,,,
,00:00:55,68,,,,,
,00:00:56,68,,,,,
,00:00:57,68,,,,,
,00:00:58,69,,,,,
,00:00:59,70,,,,,
,00:01:00,70,,,,,
,00:01:01,70,,,,,
,00:01:02,70,,,,,
,00:01:03,70,,,,,
,00:01:04,69,,,,,
,00:01:05,69,,,,,
,00:01:06,68,,,,,
,00:01:07,68,,,,,
,00:01:08,67,,,,,
,00:01:09,67,,,,,
,00:01:10,68,,,,,
,00:01:11,68,,,,,
,00:01:12,69,,,,,
,00:01:13,68,,,,,
,00:01:14,68,,,,,
,00:01:15,68,,,,,
,00:01:16,67,,,,,
,00:01:17,67,,,,,
,00:01:18,67,,,,,
,00:01:19,67,,,,,
,00:01:20,67,,,,,
,00:01:21,68,,,,,
,00:01:22,68,,,,,
,00:01:23,69,,,,,
,00:01:24,69,,,,,
,00:01:25,70,,,,,
,00:01:26,71,,,,,
,00:01:27,71,,,,,
,00:01:28,71,,,,,
,00:01:29,72,,,,,
,00:01:30,72,,,,,
,00:01:31,73,,,,,
,00:01:32,73,,,,,
,00:01:33,74,,,,,
,00:01:34,74,,,,,
,00:01:35,74,,,,,
,00:01:36,75,,,,,
,00:01:37,76,,,,,
,00:01:38,76,,,,,
,00:01:39,80,,,,,
,00:01:40,82,,,,,
,00:01:41,83,,,,,
,00:01:42,83,,,,,
,00:01:43,83,,,,,
,00:01:44,82,,,,,
,00:01:45,81,,,,,
,00:01:46,80,,,,,
,00:01:47,80,,,,,
,00:01:48,80,,,,,
,00:01:49,81,,,,,
,00:01:50,82,,,,,
,00:01:51,82,,,,,
,00:01:52,81,,,,,
,00:01:53,80,,,,,
,00:01:54,78,,,,,
,00:01:55,78,,,,,
,00:01:56,77,,,,,
,00:01:57,78,,,,,
,00:01:58,78,,,,,
,00:01:59,78,,,,,
,00:02:00,78,,,,,
,00:02:01,78,,,,,
,00:02:02,78,,,,,
,00:02:03,78,,,,,
,00:02:04,78,,,,,
,00:02:05,78,,,,,
,00:02:06,79,,,,,
,00:02:07,79,,,,,
,00:02:08,79,,,,,
,00:02:09,80,,,,,
,00:02:10,81,,,,,
,00:02:11,82,,,,,
,00:02:12,82,,,,,
,00:02:13,83,,,,,
,00:02:14,82,,,,,
