player,mean_run_time,total_chambers,max_chamber,mean_chamber_per_run,number_of_runs,boss_encounters
1,616.275,32.0,14.0,8.0,4.0,1.0
2,272.2857142857143,28.0,5.0,4.0,7.0,0.0
3,475.775,35.0,14.0,8.75,4.0,1.0
4,473.575,24.0,8.0,6.0,4.0,0.0
5,326.81666666666666,26.0,7.0,4.333333333333333,6.0,0.0
6,625.5333333333333,21.0,9.0,7.0,3.0,0.0
7,375.14,37.0,10.0,7.4,5.0,0.0
8,635.4,26.0,14.0,8.666666666666666,3.0,1.0
9,469.55,31.0,9.0,7.75,4.0,0.0
10,293.18333333333334,22.0,5.0,3.6666666666666665,6.0,0.0
11,338.26,30.0,8.0,6.0,5.0,0.0
12,497.975,29.0,14.0,7.25,4.0,1.0
13,310.25,31.0,7.0,5.166666666666667,6.0,0.0
14,590.4666666666667,34.0,14.0,11.333333333333334,3.0,1.0
15,307.73333333333335,25.0,7.0,4.166666666666667,6.0,0.0
16,373.59999999999997,36.0,14.0,6.0,6.0,1.0
17,614.4333333333333,39.0,17.0,13.0,3.0,2.0
18,340.88,18.0,6.0,3.6,5.0,0.0
19,571.0666666666667,29.0,11.0,9.666666666666666,3.0,0.0
20,298.85714285714283,31.0,7.0,4.428571428571429,7.0,0.0
