player,attempt,run_start,run_end,time,chambers,boss_encounters
1,1,01:50:100000,06:30:500000,280.4,3,0
1,2,08:32:600000,12:52:200000,259.6,5,0
1,3,16:22:400000,27:00:100000,637.7,10,0
1,4,28:25:700000,42:55:200000,869.5,14,1
2,1,02:23:400000,06:44:700000,261.3,3,0
2,2,10:48:700000,13:58:000000,189.3,5,0
2,3,16:32:900000,18:04:500000,91.6,3,0
2,4,19:06:000000,20:57:200000,111.2,3,0
2,5,21:53:500000,25:22:500000,209.0,5,0
2,6,26:22:900000,29:02:300000,159.4,4,0
2,7,30:58:100000,34:09:400000,191.3,5,0
3,1,03:07:200000,08:02:200000,295.0,5,0
3,2,09:51:700000,16:35:100000,403.4,9,0
3,3,18:28:700000,22:15:100000,226.4,7,0
3,4,23:37:300000,34:50:300000,673.0,14,1
4,1,02:37:200000,16:07:900000,810.7,8,0
4,2,19:39:900000,22:44:100000,184.2,4,0
4,3,23:48:800000,28:01:700000,252.9,5,0
4,4,28:57:100000,34:11:500000,314.4,7,0
5,1,02:14:200000,07:38:300000,324.1,2,0
5,2,12:20:500000,16:41:100000,260.6,4,0
5,3,17:40:600000,20:22:100000,161.5,4,0
5,4,21:03:200000,22:48:500000,105.3,2,0
5,5,23:27:300000,29:01:500000,334.2,7,0
5,6,29:43:700000,34:55:100000,311.4,7,0
6,1,04:42:500000,10:40:400000,357.9,4,0
6,2,15:35:200000,25:31:700000,596.5,9,0
6,3,28:26:500000,35:59:100000,452.6,8,0
7,1,01:56:200000,06:14:700000,258.5,5,0
7,2,07:27:800000,10:45:800000,198.0,6,0
7,3,11:44:300000,17:30:300000,346.0,8,0
7,4,18:33:600000,25:58:800000,445.2,10,0
7,5,26:56:300000,33:11:900000,375.6,8,0
8,1,01:50:200000,05:27:500000,217.3,3,0
8,2,09:55:500000,19:52:400000,596.9,9,0
8,3,21:10:200000,33:36:400000,746.2,14,1
9,1,00:47:600000,06:50:700000,363.1,6,0
9,2,10:01:300000,16:59:000000,417.7,9,0
9,3,18:46:600000,25:27:800000,401.2,9,0
9,4,26:51:900000,32:05:800000,313.9,7,0
10,1,01:56:900000,09:36:800000,459.9,4,0
10,2,12:52:100000,14:48:400000,116.3,3,0
10,3,15:40:000000,21:32:000000,352.0,5,0
10,4,22:36:800000,24:34:500000,117.7,3,0
10,5,25:25:400000,28:28:800000,183.4,4,0
10,6,29:20:800000,31:16:000000,115.2,3,0
11,1,03:25:200000,07:50:600000,265.4,4,0
11,2,09:50:300000,14:55:200000,304.9,7,0
11,3,16:41:500000,19:03:200000,141.7,4,0
11,4,19:58:500000,26:15:300000,376.8,8,0
11,5,27:07:200000,31:36:500000,269.3,7,0
12,1,01:41:200000,04:55:500000,194.3,3,0
12,2,08:46:700000,12:07:200000,200.5,5,0
12,3,12:51:700000,18:29:000000,337.3,7,0
12,4,21:04:500000,34:53:100000,828.6,14,1
13,1,02:03:600000,06:42:100000,278.5,3,0
13,2,08:00:100000,11:28:100000,208.0,5,0
13,3,13:19:900000,16:36:400000,196.5,4,0
13,4,17:40:200000,21:36:700000,236.5,6,0
13,5,22:49:800000,26:43:300000,233.5,6,0
13,6,27:49:500000,33:05:100000,315.6,7,0
14,1,02:06:000000,12:56:400000,650.4,11,0
14,2,14:21:100000,19:50:500000,329.4,9,0
14,3,21:15:100000,31:37:400000,622.3,14,1
15,1,01:36:100000,06:16:700000,280.6,3,0
15,2,08:31:300000,10:55:600000,144.3,3,0
15,3,12:56:500000,19:24:200000,387.7,7,0
15,4,21:10:400000,23:32:400000,142.0,3,0
15,5,24:53:100000,27:17:200000,144.1,3,0
15,6,28:00:400000,32:22:500000,262.1,6,0
16,1,01:31:700000,08:15:100000,403.4,3,0
16,2,10:02:500000,13:07:700000,185.2,5,0
16,3,14:29:700000,18:58:300000,268.6,5,0
16,4,20:08:800000,23:05:200000,176.4,4,0
16,5,24:05:300000,27:10:800000,185.5,5,0
16,6,27:52:100000,38:53:300000,661.2,14,1
17,1,01:28:300000,08:22:400000,414.1,8,0
17,2,09:11:600000,20:18:200000,666.6,14,1
17,3,20:53:900000,32:11:600000,677.7,17,1
18,1,01:44:100000,06:38:500000,294.4,2,0
18,2,11:20:800000,13:21:300000,120.5,2,0
18,3,14:12:100000,18:00:500000,228.4,4,0
18,4,21:01:500000,24:37:300000,215.8,4,0
18,5,26:13:800000,30:08:500000,234.7,6,0
19,1,01:38:000000,10:34:900000,536.9,9,0
19,2,11:53:000000,21:27:300000,574.3,11,0
19,3,22:47:200000,30:11:200000,444.0,9,0
20,1,01:07:200000,03:47:200000,160.0,1,0
20,2,07:23:500000,10:48:700000,205.2,4,0
20,3,12:01:800000,16:16:800000,255.0,6,0
20,4,17:25:700000,19:50:500000,144.8,4,0
20,5,20:30:600000,22:38:500000,127.9,3,0
20,6,23:42:400000,29:15:500000,333.1,7,0
20,7,31:57:500000,35:59:200000,241.7,6,0
