player,attempt,Time,HR (bpm)
1,-1,1900-01-01 00:00:00,82.0
1,-1,1900-01-01 00:00:01,82.0
1,-1,1900-01-01 00:00:02,82.0
1,-1,1900-01-01 00:00:03,82.0
1,-1,1900-01-01 00:00:04,81.0
1,-1,1900-01-01 00:00:05,80.0
1,-1,1900-01-01 00:00:06,79.0
1,-1,1900-01-01 00:00:07,78.0
1,-1,1900-01-01 00:00:08,76.0
1,-1,1900-01-01 00:00:09,76.0
1,-1,1900-01-01 00:00:10,77.0
1,-1,1900-01-01 00:00:11,77.0
1,-1,1900-01-01 00:00:12,79.0
1,-1,1900-01-01 00:00:13,80.0
1,-1,1900-01-01 00:00:14,80.0
1,-1,1900-01-01 00:00:15,78.0
1,-1,1900-01-01 00:00:16,78.0
1,-1,1900-01-01 00:00:17,77.0
1,-1,1900-01-01 00:00:18,76.0
1,-1,1900-01-01 00:00:19,75.0
1,-1,1900-01-01 00:00:20,75.0
1,-1,1900-01-01 00:00:21,76.0
1,-1,1900-01-01 00:00:22,77.0
1,-1,1900-01-01 00:00:23,77.0
1,-1,1900-01-01 00:00:24,76.0
1,-1,1900-01-01 00:00:25,76.0
1,-1,1900-01-01 00:00:26,75.0
1,-1,1900-01-01 00:00:27,73.0
1,-1,1900-01-01 00:00:28,73.0
1,-1,1900-01-01 00:00:29,73.0
1,-1,1900-01-01 00:00:30,73.0
1,-1,1900-01-01 00:00:31,74.0
1,-1,1900-01-01 00:00:32,74.0
1,-1,1900-01-01 00:00:33,75.0
1,-1,1900-01-01 00:00:34,75.0
1,-1,1900-01-01 00:00:35,75.0
1,-1,1900-01-01 00:00:36,75.0
1,-1,1900-01-01 00:00:37,74.0
1,-1,1900-01-01 00:00:38,73.0
1,-1,1900-01-01 00:00:39,73.0
1,-1,1900-01-01 00:00:40,75.0
1,-1,1900-01-01 00:00:41,76.0
1,-1,1900-01-01 00:00:42,78.0
1,-1,1900-01-01 00:00:43,79.0
1,-1,1900-01-01 00:00:44,79.0
1,-1,1900-01-01 00:00:45,80.0
1,-1,1900-01-01 00:00:46,80.0
1,-1,1900-01-01 00:00:47,80.0
1,-1,1900-01-01 00:00:48,79.0
1,-1,1900-01-01 00:00:49,79.0
1,-1,1900-01-01 00:00:50,80.0
1,-1,1900-01-01 00:00:51,80.0
1,-1,1900-01-01 00:00:52,82.0
1,-1,1900-01-01 00:00:53,83.0
1,-1,1900-01-01 00:00:54,83.0
1,-1,1900-01-01 00:00:55,82.0
1,-1,1900-01-01 00:00:56,82.0
1,-1,1900-01-01 00:00:57,81.0
1,-1,1900-01-01 00:00:58,81.0
1,-1,1900-01-01 00:00:59,80.0
1,-1,1900-01-01 00:01:00,80.0
1,-1,1900-01-01 00:01:01,80.0
1,-1,1900-01-01 00:01:02,79.0
1,-1,1900-01-01 00:01:03,78.0
1,-1,1900-01-01 00:01:04,78.0
1,-1,1900-01-01 00:01:05,76.0
1,-1,1900-01-01 00:01:06,75.0
1,-1,1900-01-01 00:01:07,76.0
1,-1,1900-01-01 00:01:08,76.0
1,-1,1900-01-01 00:01:09,76.0
1,-1,1900-01-01 00:01:10,76.0
1,-1,1900-01-01 00:01:11,75.0
1,-1,1900-01-01 00:01:12,75.0
1,-1,1900-01-01 00:01:13,74.0
1,-1,1900-01-01 00:01:14,73.0
1,-1,1900-01-01 00:01:15,73.0
1,-1,1900-01-01 00:01:16,73.0
1,-1,1900-01-01 00:01:17,72.0
1,-1,1900-01-01 00:01:18,72.0
1,-1,1900-01-01 00:01:19,72.0
1,-1,1900-01-01 00:01:20,72.0
1,-1,1900-01-01 00:01:21,72.0
1,-1,1900-01-01 00:01:22,72.0
1,-1,1900-01-01 00:01:23,73.0
1,-1,1900-01-01 00:01:24,73.0
1,-1,1900-01-01 00:01:25,73.0
1,-1,1900-01-01 00:01:26,73.0
