player,attempt,hr_min,hr_max,hr_mean,hr_std,hr_peak,hr_bottom
1,-1,68.0,92.0,75.24709784411277,4.24737214462412,0.024875621890547265,0.4626865671641791
1,1,76.0,97.0,87.5,5.696631715604038,0.6035714285714285,0.0
1,2,73.0,84.0,78.13461538461539,1.978931950869374,0.0,0.05384615384615385
1,3,69.0,92.0,75.40438871473354,3.7754199058671767,0.012539184952978056,0.49686520376175547
1,4,68.0,85.0,74.47356321839081,2.753571162567294,0.0,0.5816091954022988
2,-1,80.0,103.0,89.71544715447155,4.686110668879169,0.2682926829268293,0.4564459930313589
2,1,84.0,103.0,90.91954022988506,3.5188013391951363,0.2681992337164751,0.2681992337164751
2,2,86.0,100.0,93.1421052631579,3.0369533238932966,0.5947368421052631,0.1
2,3,82.0,91.0,85.92391304347827,2.6487969305268866,0.0,0.8043478260869565
2,4,84.0,98.0,91.83035714285714,4.042317578176088,0.5357142857142857,0.26785714285714285
2,5,81.0,100.0,90.65071770334929,4.018887135681786,0.3014354066985646,0.291866028708134
2,6,83.0,96.0,89.6125,3.1161730682352946,0.20625,0.3875
2,7,84.0,98.0,90.48167539267016,3.4241294428575455,0.34554973821989526,0.3717277486910995
3,-1,78.0,124.0,97.12290502793296,10.958528358492025,0.09124767225325885,0.19366852886405958
3,1,96.0,115.0,103.76271186440678,3.6799649836161583,0.01694915254237288,0.0
3,2,82.0,101.0,94.51237623762377,3.6329543920778606,0.0,0.04207920792079208
3,3,81.0,96.0,87.94713656387665,3.5607034446989263,0.0,0.2775330396475771
3,4,79.0,111.0,88.48439821693908,5.84319992716374,0.0,0.3684992570579495
4,-1,65.0,83.0,71.61346153846154,4.422596071322652,0.15384615384615385,0.6057692307692307
4,1,65.0,85.0,74.00617283950618,4.547098551367649,0.2839506172839506,0.3333333333333333
4,2,68.0,78.0,73.32432432432432,2.776591338216602,0.0918918918918919,0.2864864864864865
4,3,69.0,86.0,73.61660079051383,3.7774446917887734,0.15019762845849802,0.32806324110671936
4,4,69.0,84.0,75.23248407643312,2.8865827450179022,0.18152866242038215,0.050955414012738856
5,-1,72.0,107.0,81.76811594202898,4.846450096862081,0.017713365539452495,0.33816425120772947
5,1,73.0,94.0,80.07716049382717,3.304500630955064,0.0,0.4228395061728395
5,2,73.0,92.0,79.66283524904215,3.5735833674746122,0.0,0.5172413793103449
5,3,77.0,90.0,82.61728395061728,2.737219431651014,0.0,0.09259259259259259
5,4,73.0,88.0,79.64761904761905,3.949150230845561,0.0,0.5428571428571428
5,5,73.0,88.0,80.73952095808383,2.5221769062471187,0.0,0.32934131736526945
5,6,75.0,101.0,80.73076923076923,4.553146191634337,0.02564102564102564,0.4551282051282051
6,-1,90.0,139.0,107.15883100381194,12.655201694537277,0.10546378653113088,0.08767471410419314
6,1,94.0,120.0,109.52513966480447,4.6119057178336815,0.0,0.0
6,2,85.0,116.0,100.50167785234899,4.874733058349361,0.0,0.03523489932885906
6,3,88.0,106.0,98.18984547461369,3.37798484502776,0.0,0.08609271523178808
7,-1,66.0,113.0,82.14213197969544,12.165529307479291,0.06345177664974619,0.3020304568527919
7,1,76.0,108.0,88.79069767441861,7.652648297844375,0.08914728682170543,0.0
7,2,69.0,89.0,79.97979797979798,5.125787888883358,0.0,0.15656565656565657
7,3,70.0,91.0,78.3092485549133,4.483111757239212,0.0,0.06069364161849711
7,4,66.0,90.0,75.87865168539327,4.570628712398533,0.0,0.24943820224719102
7,5,67.0,104.0,83.31733333333334,10.531241697606443,0.032,0.20533333333333334
8,-1,64.0,112.0,77.57442348008385,9.35443632300355,0.027253668763102725,0.16352201257861634
8,1,71.0,87.0,76.91705069124424,3.939652946057744,0.0,0.0
8,2,66.0,91.0,77.45226130653266,5.23025039618297,0.0,0.04187604690117253
8,3,62.0,100.0,72.32171581769437,5.858371879529633,0.0,0.20107238605898123
9,-1,61.0,106.0,71.73542600896862,9.322773887860627,0.042600896860986545,0.43946188340807174
9,1,63.0,80.0,69.90633608815428,3.8960297920930183,0.0,0.31955922865013775
9,2,68.0,86.0,72.81818181818181,3.0855825556724406,0.0,0.0
9,3,67.0,104.0,78.21945137157107,8.393552328916188,0.0773067331670823,0.0024937655860349127
9,4,66.0,91.0,75.87261146496816,6.849104896765481,0.0,0.08917197452229299
10,-1,64.0,95.0,71.12268907563025,5.368577314925088,0.03529411764705882,0.47058823529411764
10,1,64.0,81.0,71.56739130434782,4.216088820765821,0.0,0.391304347826087
10,2,67.0,74.0,70.05172413793103,1.7136019911601252,0.0,0.3879310344827586
